name,id
Neuro Business School,41227
Cork University Business School,41222
ISDE,41108
"University of Oregon, Lundquist College of Business",39922
Advantere School of Management,39880
ESSEC Online,39801
University of Barcelona,39740
ESDEN Business School,35658
"University of Missouri, Trulaske College of Business",39647
Scheer School of Digital Sciences,39514
Charles Sturt University,38300
Clermont School of Business,38284
London Interdisciplinary School,38184
EBS Business School,37801
University of Canterbury,37613
Dublin City University,37185
Tomorrow University of Applied Sciences,37165
London Metropolitan University,37116
Bocconi University,36973
The London School of Economics and Political Science (LSE),36787
University of Chicago Booth School of Business,36528
"Fisher College of Business, The Ohio State University",36523
Gies College of Business University of Illinois,36441
Erasmus University – Rotterdam School of Management (RSM),1674
Vlerick Business School,2235
Alliance Manchester Business School,2242
ESMT Berlin,2311
INSEAD,2374
Nyenrode Business University,2403
Cambridge Judge Business School,3048
Frankfurt School of Finance &#038; Management,4317
UBC Sauder School of Business,4405
Athena School of Management,5154
Business School Netherlands (BSN),5186
Copenhagen Business School (CBS),5189
Cranfield School of Management,5193
Stockholm School of Economics,6055
University of St.Gallen,5940
Vrije Universiteit Amsterdam (VU),6127
WHU Otto Beisheim School of Management,6052
Adolfo Ibáñez University,6239
Yale School of Management,6098
ESSEC Business School,5969
EU Business School,6011
Fordham University – Gabelli School of Business,6120
HHL Leipzig Graduate School of Management,6022
"John Molson School of Business, Concordia University",6092
Santa Clara University – Leavey School of Business,6108
NUS Business School,5966
Schulich School of Business,5979
Smith School of Business @ Queen’s University,5914
American University Dubai,6099
Amsterdam Business School,5927
"Bayes Business School, City University London",5986
"Beedie School of Business, Simon Fraser University",6002
Bentley University,6032
Birmingham Business School,6080
Bond University,5912
Business School Lausanne,6113
"University of Cincinnati, Carl H Lindner College of Business",6078
CUHK Business School,6040
SMU Cox School of Business,5947
Deusto Business School,6103
Durham University Business School,6006
EADA Business School Barcelona,5952
EAE Business School Barcelona,6088
EDHEC Business School,5938
Esade,5921
ESCP Business School,6009
ESEI International Business School Barcelona,6126
FGV EBAPE,5943
Geneva Business School,6128
Goethe Business School,6077
WU Executive Academy,6106
Warwick Business School,6054
The University of Tampa,5932
Hanken School of Economics,6065
University of Sydney Business School,6057
University of Stellenbosch Business School,5959
HEC Paris,5917
Henley Business School,5964
Hult International Business School,5972
IESE Business School,6003
IMI International Management Institute Switzerland,6109
Imperial Business School,5965
International University of Monaco IUM,6117
ISEM Fashion Business School,6118
"Kelley School of Business, Indiana University Bloomington",5989
"Purdue University, Daniels School of Business",5981
The University of Kansas (KU) School of Business,6042
Lehigh University,6033
London Business School,6049
Luxembourg School of Business LSB,6110
Maastricht School of Management,5928
"Georgetown University, McDonough School of Business",5916
"University of Miami, Miami Herbert Business School",5975
MIP Politecnico di Milano,6001
"Opus College of Business, University of St. Thomas – Minnesota",5983
UC San Diego Rady School of Management,6076
RMIT University,5944
"University of Southern Indiana, Romain College of Business",6063
Rotman School of Management,5999
SDA Bocconi,5957
Singapore Management University,6116
SolBridge International School of Business,6069
Solvay Brussels School,6085
SKK Graduate School of Business,6090
Technical University of Denmark DTU,6095
"Tepper School of Business, Carnegie Mellon University",5974
TIAS Business School,5996
UC Davis Graduate School of Management,6102
UCD Smurfit Graduate Business School,6027
UCI Paul Merage School of Business,6094
University of Cape Town Graduate School of Business (UCT-GSB),6000
UMIO | Maastricht University,6075
UNC Kenan-Flagler,5978
University at Albany School of Business,5982
University of Auckland Business School,6030
University of Bath School of Management,6004
University of Edinburgh Business School,6025
University of Rhode Island,6043
"Simmons College, Boston",5926
George Mason University School of Business,14665
"Fuqua School of Business, Duke University",16515
Berlin School of Business and Innovation (BSBI),16513
UWA Business School,16510
Webster University Leiden Campus,16511
IED Barcelona Escola Superior de Disseny,17385
ELISAVA,17389
LCI Barcelona,17388
"UIC Barcelona, Universitat Internacional de Catalunya",17387
InnoEnergy Master’s School,17386
University of Twente,17363
Midwestern State University,17364
Tilburg University,17365
Barcelona Graduate School of Economics,17368
University of Luxembourg,17367
Marbella International University Center,17366
SDA Bocconi Asia Center,17369
Peter the Great St. Petersburg Polytechnic University,17370
University of Auckland,17371
University of Toronto – School of Graduate Studies,17372
Breda University of Applied Sciences,17373
Birmingham City University,17376
IBS International Business School,17375
McIntire School of Commerce,17374
UCD College of Engineering &#038; Architecture,17379
Universität Liechtenstein,17378
Barcelona Technology School,17377
"Worcester Polytechnic Institute, Foisie Business School",17380
"EUHT StPOL, Barcelona",17382
IHE Delft Institute for Water Education,17381
Antwerp Management School,17343
"Hanze University of Applied Sciences, Groningen",17344
GLION,17347
IE University,17346
Universitat Pompeu Fabra (UPF),17345
TBS Education,17348
Wageningen University,17351
"University of British Columbia, Vancouver",17350
UNISA,17357
Johan Cruyff Institute,17355
Rijksuniversiteit Groningen,17353
Leiden University,17360
Tallinn University of Technology,17359
BI Norwegian Business School,17358
"Boston University, Questrom School of Business",17383
"Yeshiva University, The Katz School",17384
"Graduate School of Arts and Science, New York University",17361
HSE University,17392
Institut Barcelona d’Estudis Internacionals IBEI,17391
CIFE European Institute,17390
EHL Hospitality Business School,17394
University of Bath Online,20648
NHH Norwegian School of Economics,21846
"Darla Moore School of Business, University of South Carolina",24424
TCU Neeley School of Business,24212
"Rider University, Norm Brodsky College of Business",24633
University of San Francisco- School of Management,24651
Clemson University,25264
Merrick School of Business,25405
Johns Hopkins Carey Business School,24942
Nelson Mandela University Business School,26111
University of Georgia Terry College of Business,27765
Saunders College of Business at Rochester Institute of Technology,29370
Trinity College Dublin,30367
Newcastle University Business School,30560
Barcelona Executive Business School – BEBS,30805
Emory University’s Goizueta Business School,30607
Emlyon Business School,30962
