Position,ID,School
1,2374,Insead
2,5917,HEC Paris
3,6049,London Business School
4,6003,IESE Business School
5,6009,ESCP Business School
6,5957,SDA Bocconi School of Management
7,5938,Edhec Business School
8,5969,Essec Business School
9,5940,University of St Gallen
10,5920,IE Business School
11,32684,EMLyon Business School
12,5921,Esade Business School
13,6007,University of Oxford: Saïd
14,5942,IMD — International Institute for Management Development
15,6054,Warwick Business School
16,6052,WHU – Otto Beisheim School of Management
17,1674,"Rotterdam School of Management, Erasmus University"
19,2311,ESMT Berlin
20,6115,Mannheim Business School
21,6027,University College Dublin: Smurfit
22,5950,Católica Lisbon School of Business and Economics
23,6055,Stockholm School of Economics
24,30705,"Trinity College Dublin, Trinity Business School"
25,5193,Cranfield School of Management
26,6100,Skema Business School
27,5952,Eada Business School Barcelona
28,3048,University of Cambridge: Judge
29,5965,Imperial Business School
30,46422,Audencia
31,6012,Grenoble Ecole de Management
32,6071,Neoma Business School
33,2235,Vlerick Business School
34,5949,Kedge Business School
35,5964,Henley Business School
36,5996,"Tias Business School, Tilburg University"
37,6001,Polimi School of Management
39,5976,University of Porto – FEP | PBS
40,2242,Alliance Manchester Business School
41,4317,Frankfurt School of Finance and Management
44,5986,Bayes Business School
46,6106,WU Vienna University of Economics and Business
48,5189,Copenhagen Business School (CBS)
50,43809,EBS Business School
51,6083,"HEC Lausanne, University of Lausanne"
53,18948,NHH Norwegian School of Economics
54,29016,TBS Education
56,6136,Rennes School of Business
58,6006,Durham University Business School
59,5972,Hult Ashridge Executive Education
60,6025,University of Edinburgh Business School
61,2403,Nyenrode Business Universiteit
64,6022,HHL Leipzig Graduate School of Management
66,6035,Bologna Business School
71,36304,Burgundy School of Business
73,6065,Hanken School of Economics
78,6085,Solvay Brussels School of Economics and Management (ULB)
83,6068,University College Cork: IMI/CUBS
84,6121,IQS — Universitat Ramon Llull
90,6004,University of Bath School of Management
94,5976,Católica Porto Business School
