#,School Id,School Name,,
1,2374,Insead,0.95,INSEAD
2,5917,HEC Paris,1,HEC Paris
3,6049,London Business School,1,London Business School
4,6009,ESCP Business School,1,ESCP Business School
5,6003,IESE Business School,1,IESE Business School
6,5957,SDA Bocconi School of Management,0.95,SDA Bocconi
7,5969,Essec Business School,0.99,ESSEC Business School
8,5940,University of St Gallen,0.95,University of St.Gallen
9,5938,Edhec Business School,0.95,EDHEC Business School
10,32684,EMLyon Business School,0.9,emlyon Business School
11,5921,Esade Business School,0.95,Esade
12,2311,ESMT Berlin,1,ESMT Berlin
13,5942,IMD — International Institute for Management Development,0.95,IMD Business School
14,6007,University of Oxford: Saïd,0.95,"Saïd Business School, University of Oxford"
15,6115,Mannheim Business School,1,Mannheim Business School
16,6100,Skema Business School,0.9,SKEMA Business School
17,,Nova School of Business and Economics,0,
18,6054,Warwick Business School,1,Warwick Business School
19,6055,Stockholm School of Economics,1,Stockholm School of Economics
20,6052,WHU – Otto Beisheim School of Management,1,WHU – Otto Beisheim School of Management
21,5920,IE Business School,1,IE Business School
22,3048,University of Cambridge: Judge,0.9,Cambridge Judge Business School
23,6027,University College Dublin: Smurfit,0.95,UCD Smurfit Graduate Business School
24,6012,Grenoble Ecole de Management,1,Grenoble Ecole de Management
25,2235,Vlerick Business School,1,Vlerick Business School
26,,Católica Lisbon School of Business and Economics,,
26,46422,Audencia,0.83,Audencia Business School
28,6071,Neoma Business School,0.95,NEOMA Business School
29,5193,Cranfield School of Management,1,Cranfield School of Management
30,5952,Eada Business School Barcelona,0.95,EADA Business School Barcelona
31,4317,Frankfurt School of Finance and Management,0.99,Frankfurt School of Finance & Management
32,5949,Kedge Business School,1,Kedge Business School
33,1674,"Rotterdam School of Management, Erasmus University",0.95,Erasmus University – Rotterdam School of Management (RSM)
34,5986,Bayes Business School,0.95,"Bayes Business School, City University London"
35,6001,Polimi School of Management,0.9,MIP Politecnico di Milano
36,2242,Alliance Manchester Business School,1,Alliance Manchester Business School
37,5964,Henley Business School,1,Henley Business School
38,5976,University of Porto – FEP | PBS,0.9,Porto Business School
39,5965,Imperial Business School,1,Imperial Business School
40,,BI Norwegian Business School,0,
41,6106,WU Vienna University of Economics and Business,0.85,WU Executive Academy
42,,Kozminski University,0,Kozminski University
43,30705,"Trinity College Dublin, Trinity Business School",0.9,Trinity College Dublin
44,,Iscte Business School,0,
45,5189,Copenhagen Business School (CBS),1,Copenhagen Business School (CBS)
46,,Aalto University,0,
47,,Iéseg School of Management,0,
48,,Prague University of Economics and Business,0,Prague University of Economics and Business
49,5996,"Tias Business School, Tilburg University",0.95,TIAS Business School
50,,Luiss University/Luiss Business School,0,
51,18948,NHH Norwegian School of Economics,1,NHH Norwegian School of Economics
52,6083,"HEC Lausanne, University of Lausanne",0.95,UNIL – HEC Lausanne
53,6084,Sabanci Business School,0.95,Sabancı Business School
54,6085,Solvay Brussels School of Economics and Management (ULB),0.9,Solvay Brussels School
55,,Antwerp Management School,0,
56,,Excelia Business School,0,
57,,MBS (Montpellier Business School),0,
58,,Koç University Graduate School of Business,0,
59,43809,EBS Business School,1,EBS Business School
60,2403,Nyenrode Business Universiteit,0.97,Nyenrode Business University
61,6136,Rennes School of Business,1,Rennes School of Business
62,,University of Cologne,0,
63,6035,Bologna Business School,1,Bologna Business School
64,,ICN Business School,0,
65,,"University of Ljubljana, School of Economics and Business",0,
66,,Essca School of Management,0,
67,,ISEG – Lisbon School of Economics and Management,,
67,6004,University of Bath School of Management,1,University of Bath School of Management
69,,Paris School of Business,0,
70,6025,University of Edinburgh Business School,1,University of Edinburgh Business School
71,6006,Durham University Business School,1,Durham University Business School
72,,ZHAW School of Management and Law,0,
73,,EM Strasbourg Business School,0,
74,6022,HHL Leipzig Graduate School of Management,1,HHL Leipzig Graduate School of Management
75,,Lund University School of Economics and Management (Lusem),0,
76,36304,Burgundy School of Business,1,Burgundy School of Business
77,,Institut Mines-Télécom Business School,0,
77,,University of Zurich,1,University of Zurich
79,,Tum School of Management,1,Tum School of Management
80,6075,"Maastricht University, School of Business and Economics",0.95,UMIO | Maastricht University
81,5976,Católica Porto Business School,0.9,Porto Business School
82,6065,Hanken School of Economics,1,Hanken School of Economics
83,,University Carlos III de Madrid,1,
84,,IAE Aix-Marseille Graduate School of Management,0,
85,,"Louvain School of Management, UCLouvain",1,
86,,Jönköping International Business School,0,Jönköping International Business School
87,,University of Glasgow: Adam Smith,0,
88,6121,IQS — Universitat Ramon Llull,0.9,La Salle Campus Barcelona – Ramon Llull University
89,,Leeds University Business School,0,
90,,Aston Business School,1,Aston Business School
91,5927,University of Amsterdam — Amsterdam Business School,0.95,Amsterdam Business School
92,6103,Deusto Business School,1,Deusto Business School
93,,EM Normandie Business School,0,
94,29016,TBS Education,1,TBS Education
95,,Lancaster University Management School,0,
95,,Esdes Business School,,
97,,Clermont School of Business,0,Clermont School of Business
98,,University of Strathclyde Business School,0,
99,,University of Antwerp Faculty of Business and Economics,0.95,University of Antwerp Faculty of Business and Economics
100,,SGH Warsaw School of Economics,0,
