Position,ID,School
2,6056,Columbia Business School
3,6003,IESE Business School
4,2374,Insead
4,5957,SDA Bocconi School of Management
6,6074,MIT: Sloan
7,6049,London Business School
8,5921,Esade Business School
9,5917,HEC Paris
10,6072,"Northwestern University, Kellogg School of Management"
11,6133,Duke University’s Fuqua School of Business
12,5939,Ceibs
13,6079,Harvard Business School
13,5915,Cornell University: Johnson
15,5992,UC Berkeley: Haas
17,41390,University of Chicago: Booth
18,5920,IE Business School
19,41581,UCLA Anderson School of Management
20,5951,Dartmouth College: Tuck
22,5942,IMD — International Institute for Management Development
22,6112,"Nanyang Business School, NTU Singapore"
24,6098,Yale School of Management
25,6005,Peking University: Guanghua
26,6007,University of Oxford: Said
27,5961,Indian School of Business
28,6009,ESCP Business School
29,6038,University of Michigan: Ross
31,41187,New York University: Stern
34,5933,University of Washington: Michael G. Foster
35,3048,University of Cambridge: Judge
36,6013,HKUST Business School
37,5966,National University of Singapore Business School
38,5965,Imperial Business School
39,5954,Rice University: Jones
39,5922,University of Texas at Austin: McCombs
41,6024,HKU Business School
43,5916,Georgetown University: McDonough
44,32684,EMLyon Business School
45,5953,Emory University: Goizueta
46,2242,Alliance Manchester Business School
47,5969,Essec Business School
49,5974,Carnegie Mellon: Tepper
51,5978,University of North Carolina: Kenan-Flagler
52,5911,Vanderbilt University: Owen
53,6094,University of California at Irvine: Merage
55,6097,University of Georgia: Terry
56,1674,"Rotterdam School of Management, Erasmus University"
57,5988,Indian Institute of Management Bangalore
58,6081,Georgia Tech Scheller College of Business
59,6059,Arizona State University: WP Carey
60,6034,University of Rochester: Simon Business School
62,6054,Warwick Business School
63,5940,University of St Gallen
64,5938,Edhec Business School
65,6040,CUHK Business School
66,6052,WHU – Otto Beisheim School of Management
67,5986,Bayes Business School
67,6017,AGSM at UNSW Business School
71,6115,Mannheim Business School
73,6027,University College Dublin: Smurfit
74,5937,Boston University
76,5999,University of Toronto: Rotman
77,5950,The Lisbon MBA Catolica I Nova
78,6120,Fordham University: Gabelli
79,5914,Queen's University: Smith
80,5987,William & Mary: Mason
80,2311,ESMT Berlin
82,5193,Cranfield School of Management
83,6020,Babson College: Olin
86,6006,Durham University Business School
86,6029,Western University: Ivey
89,6012,Grenoble Ecole de Management
90,46422,Audencia
91,6025,University of Edinburgh Business School
92,5972,Hult International Business School
93,5189,Copenhagen Business School (CBS)
94,5990,McGill University: Desautels
95,4405,University of British Columbia: Sauder
96,4317,Frankfurt School of Finance and Management
98,6090,Sungkyunkwan University GSB
99,5975,Miami Herbert Business School
100,5952,Eada Business School Barcelona
