Position,ID,School Name,,
1,,Washington University: Olin,0,
2,5939,Ceibs,0.95,CEIBS
3,6009,ESCP Business School,1,ESCP Business School
4,,Kellogg/HKUST Business School,0.9,
5,6100,Skema Business School,0.9,SKEMA Business School
6,6135,Trium: HEC Paris/LSE/NYU: Stern,0.95,TRIUM Global EMBA
7,2374,Insead,0.95,INSEAD
8,,Fudan University School of Management,1,Fudan University School of Management
9,6059,Arizona State University: WP Carey,0.9,Arizona State University
10,36072,Guanghua-Kellogg,0.85,Kellogg-WHU
11,,UCLA: Anderson/National University of Singapore,0.95,
12,6074,MIT: Sloan,0.95,MIT Sloan School of Management
13,6049,London Business School,1,London Business School
14,6003,IESE Business School,1,IESE Business School
15,6007,University of Oxford: Saïd,0.95,"Saïd Business School, University of Oxford"
16,,University of Pennsylvania: Wharton,1,University of Pennsylvania: Wharton
17,5917,HEC Paris,1,HEC Paris
18,,Essec Business School/Mannheim Business School,0.95,
19,6024,HKU Business School,0.95,"HKU, The University of Hong Kong"
20,3048,University of Cambridge: Judge,0.9,Cambridge Judge Business School
21,,BI Norwegian Business School/Fudan University School of Management,0,
22,6040,CUHK Business School,1,CUHK Business School
23,5966,National University of Singapore Business School,0.95,NUS Business School
24,5949,Kedge Business School,1,Kedge Business School
24,5940,University of St Gallen,0.95,University of St.Gallen
26,5942,IMD — International Institute for Management Development,0.95,IMD Business School
27,5957,SDA Bocconi School of Management,0.95,SDA Bocconi
28,5938,Edhec Business School,0.9,EDHEC Business School
29,5969,Essec Business School,0.95,ESSEC Business School
30,6072,"Northwestern University, Kellogg School of Management",0.98,Northwestern University’s Kellogg School of Management
31,6098,Yale School of Management,1,Yale School of Management
32,5979,Kellogg/York University: Schulich,0.95,Schulich School of Business
33,5964,Henley Business School,1,Henley Business School
34,6054,Warwick Business School,1,Warwick Business School
35,41390,University of Chicago: Booth,0.95,University of Chicago Booth School of Business
36,41581,UCLA Anderson School of Management,1,UCLA Anderson School of Management
37,1674,"Rotterdam School of Management, Erasmus University",0.95,Erasmus University – Rotterdam School of Management (RSM)
38,6071,Neoma Business School,0.95,NEOMA Business School
