Position,ID,School
2,6079,Harvard Business School
3,6074,MIT (Sloan)
4,43611,Stanford Graduate School of Business
5,5917,HEC Paris
6,6049,London Business School
7,3048,Cambridge (Judge)
8,2374,INSEAD
9,6072,Northwestern (Kellogg)
10,6056,Columbia Business School
11,5920,IE Business School
12,6007,Oxford (Said)
12,6098,Yale School of Management
14,5992,UC Berkeley (Haas)
15,41390,Chicago (Booth)
15,6003,IESE Business School
17,41187,NYU (Stern)
18,41581,UCLA (Anderson)
19,5965,Imperial College Business School
20,5957,SDA Bocconi
21,5921,Esade Business School
22,6038,Michigan (Ross)
23,5966,National University of Singapore (NUS)
24,6133,Duke (Fuqua)
25,5942,IMD
26,6009,ESCP Europe
27,5189,Copenhagen Business School
29,5969,ESSEC Business School
30,6054,Warwick Business School
31,5936,Melbourne Business School
32,6017,UNSW (AGSM)
33,5915,Cornell (Johnson)
34,1674,Erasmus (RSM)
36,5937,Boston (Questrom)
37,5922,Texas (McCombs)
38,6112,Nanyang NTU Singapore
39,2242,Alliance Manchester Business School
40,4317,Frankfurt School of Finance & Management
41,5939,China Europe International Business School (CEIBS)
41,6116,Singapore Management University
43,5938,EDHEC Business School
44,6057,University of Sydney Business School
45,5989,Indiana (Kelley)
46,5974,Carnegie Mellon (Tepper)
46,6115,Mannheim Business School
48,5940,University of St.Gallen
49,32684,EMLyon Business School
51,6024,University of Hong Kong
52,5988,Indian Institute of Management Bangalore
53,6081,Georgia Tech (Scheller)
54,5980,Johns Hopkins Carey Business School
55,5999,Toronto (Rotman)
56,46685,EGADE Business School
57,6052,WHU (Otto Beisheim)
59,6005,Peking University - Guanghua School of Management
60,5927,"Amsterdam Business School, University of Amsterdam"
61,5916,Georgetown (McDonough)
65,6001,POLIMI Graduate School of Management
66,6012,Grenoble Ecole de Management
66,6025,University of Edinburgh Business School
68,32322,Shanghai Jiao Tong (Antai)
69,5193,Cranfield School of Management
70,6050,Virginia (Darden)
72,5953,Emory (Goizueta)
73,6020,Babson College (Olin)
73,5990,McGill (Desautels)
76,6008,Penn State (Smeal)
77,46422,Audencia Business School
77,6014,Minnesota (Carlson)
79,6020,Washington (Olin)
80,28852,Michigan State (Eli Broad)
81,5933,Washington (Foster)
82,2235,Vlerick Business School
84,2311,ESMT Berlin
85,6040,CUHK Business School
86,6000,Cape Town GSB
88,5956,INCAE Business School
89,5954,Rice (Jones)
90,6006,Durham University Business School
92,5978,North Carolina (Kenan-Flagler)
93,6029,Western (Ivey)
94,30705,Trinity College Dublin
96,5986,Bayes Business School
97,5958,George Washington
98,6134,City University of Hong Kong
99,5979,York (Schulich)
