Position,ID,School
1,6079,Harvard University
2,43611,Stanford University
3,6074,Massachusetts Institute of Technology
4,3048,University of Cambridge
5,5992,"University of California, Berkeley"
6,6007,University of Oxford
8,6056,Columbia University
10,41390,University of Chicago
11,6098,Yale University
12,5915,Cornell University
17,5933,University of Washington
19,5980,Johns Hopkins University
20,6076,"University of California, San Diego"
23,5984,Peking University
28,41187,New York University
31,6072,Northwestern University
33,6038,"University of Michigan, Ann Arbor"
36,5970,"University of Wisconsin, Madison"
37,6025,The University of Edinburgh
39,5978,Univ North Carolina - Chapel Hill
46,6133,Duke University
46,2242,The University of Manchester
49,5922,The University of Texas at Austin
51,6014,"University of Minnesota, Twin Cities"
53,4405,University of British Columbia
53,6044,Univ Illinois - Urbana Champaign
55,5962,"University of Maryland, College Park"
56,5966,National University of Singapore
62,5911,Vanderbilt University
67,6024,The University of Hong Kong
76,5990,McGill University
79,6094,"University of California, Irvine"
80,6017,The University of New South Wales
83,6051,"Ohio State University, Columbus"
99,6134,City University of Hong Kong
