Position,ID,School
2,6072,Northwestern University (Kellogg)
4,41390,University of Chicago (Booth)
5,6074,Massachusetts Institute of Technology (Sloan)
6,5951,Dartmouth College (Tuck)
6,41187,New York University (Stern)
10,6098,Yale University
11,5992,"University of California, Berkeley (Haas)"
11,6050,University of Virginia (Darden)
13,6133,Duke University (Fuqua)
13,6038,University of Michigan--Ann Arbor (Ross)
15,5915,Cornell University (Johnson)
16,5922,University of Texas--Austin (McCombs)
17,5953,Emory University (Goizueta)
18,5974,Carnegie Mellon University (Tepper)
18,41581,University of California--Los Angeles (Anderson)
18,5911,Vanderbilt University (Owen)
21,6081,Georgia Institute of Technology (Scheller)
22,5989,Indiana University (Kelley)
22,5933,University of Washington (Foster)
24,5916,Georgetown University (McDonough)
24,6051,Ohio State University (Fisher)
28,5978,University of North Carolina--Chapel Hill (Kenan-Flagler)
29,5954,Rice University (Jones)
29,6097,University of Georgia (Terry)
32,6034,University of Rochester (Simon)
34,5947,Southern Methodist University (Cox)
35,6059,Arizona State University (W.P. Carey)
35,28852,Michigan State University (Broad)
35,6014,University of Minnesota--Twin Cities (Carlson)
40,5970,University of Wisconsin--Madison
42,5997,Iowa State University (Ivy)
43,21007,Texas Christian University (Neeley)
43,6094,University of California--Irvine (Merage)
46,6018,Boston College (Carroll)
46,5937,Boston University (Questrom)
50,5975,University of Miami (Herbert)
52,5962,University of Maryland--College Park (Smith)
54,6015,Baylor University (Hankamer)
54,6039,Syracuse University (Whitman)
58,6120,Fordham University (Gabelli)
61,5985,CUNY Bernard M. Baruch College (Zicklin)
61,5958,George Washington University
61,6046,University of Kentucky (Gatton)
61,5987,William & Mary (Mason)
65,6102,University of California--Davis
66,6073,Chapman University (Argyros)
68,6076,University of California--San Diego (Rady)
71,5998,University of South Carolina (Moore)
72,6042,University of Kansas
73,6020,Babson College (Olin)
73,6078,University of Cincinnati (Lindner)
79,6082,University at Buffalo--SUNY
82,6060,Loyola University Maryland (Sellinger)
86,6033,Lehigh University
88,6041,University of California--Riverside (Anderson)
88,6031,University of Oregon (Lundquist)
95,19580,Clemson University
97,6101,Claremont Graduate University (Drucker)
97,5973,Willamette University (Atkinson)
100,5925,Brandeis University
100,6121,La Salle University
100,28676,Rochester Institute of Technology (Saunders)
